class,1kHz_cond,2kHz_cond,3kHz_cond,7kHz_cond,11kHz_cond,17kHz_cond,23kHz_cond,31kHz_cond,43kHz_cond,61kHz_cond,89kHz_cond,127kHz_cond,179kHz_cond,251kHz_cond,349kHz_cond
skin,4207.47868,4373.229909,4522.597648,4391.245429,4346.215368,4331.415778,4327.860068,4321.631505,4317.463976,4315.578484,4290.90015,4262.689373,4224.729129,4170.650778,4112.523825
skin,5157.391134,5296.306832,5442.457094,5357.954994,5331.813243,5339.695856,5348.368872,5353.445851,5361.295035,5371.524051,5358.804784,5337.900158,5292.23894,5218.916797,5126.596252
skin,4911.154661,5189.121289,5404.99565,5402.657399,5409.509869,5442.185864,5464.655539,5480.92827,5498.921149,5519.393076,5510.846644,5491.106983,5448.495378,5373.676324,5279.76493
skin,3013.859227,3356.678448,3498.471099,3627.02525,3670.932516,3714.906449,3743.826555,3767.728275,3791.024648,3817.915211,3838.056188,3864.655959,3888.230961,3898.751249,3897.673126
skin,4064.082845,4402.622269,4591.561684,4622.739204,4629.042675,4648.426913,4668.101269,4679.943741,4692.889185,4707.334964,4695.365489,4670.333252,4621.213998,4540.338233,4442.590534
skin,2100.872407,2748.627284,2951.053607,3292.273342,3409.965578,3519.50667,3585.195715,3645.371848,3700.104315,3758.356324,3804.759993,3837.98958,3856.782534,3861.87384,3845.401673
skin,2342.324969,2669.760539,2824.179582,2950.975719,3004.300425,3065.85434,3101.45823,3134.97919,3164.954256,3200.132228,3225.785562,3241.789693,3247.348874,3239.961462,3224.095118
skin,4365.197108,4621.888894,4815.659213,4793.842302,4782.697531,4792.774702,4800.470991,4804.303797,4802.805343,4805.185685,4778.043119,4740.369513,4685.659804,4605.473098,4511.348475
skin,4721.681871,4824.19324,4949.418125,4751.525249,4664.87294,4598.849039,4562.661938,4522.165963,4472.371568,4421.851309,4336.293178,4244.509577,4137.89392,4013.322392,3883.807179
skin,1890.162868,1943.085575,1961.096852,1979.549784,1983.3498,1986.586065,2001.484554,2015.926235,2028.879736,2057.176696,2067.479887,2083.692741,2095.070785,2106.248505,2110.96121
skin,4137.717626,4410.271549,4604.272543,4570.674321,4563.707974,4582.434223,4603.339449,4618.59353,4633.536247,4652.944879,4643.280353,4619.277658,4575.214806,4505.630084,4427.295108
skin,1455.718818,1581.989415,1621.994845,1700.398503,1727.143925,1747.459106,1754.630513,1761.876529,1764.700106,1765.952775,1762.09734,1753.193374,1753.865038,1759.951781,1775.428803
skin,4309.520787,4640.706124,4830.749545,4889.049937,4947.507092,5047.332592,5128.710313,5208.579466,5299.171102,5391.13277,5460.63813,5505.162288,5519.606373,5499.036678,5459.736341
skin,2227.621376,2672.226358,2825.507571,3026.13779,3124.832374,3241.021126,3322.289407,3399.168386,3479.50454,3558.22921,3623.987763,3668.979488,3693.885525,3695.929568,3682.378887
skin,1310.699978,1434.535528,1474.128754,1545.779898,1572.068089,1589.280777,1593.909445,1596.272794,1593.789615,1585.005575,1563.714687,1539.804821,1527.888455,1526.873712,1540.569022
skin,4394.725776,4739.917292,4972.033286,4987.078709,5044.833102,5144.103063,5219.060032,5289.929677,5369.667613,5455.77725,5526.213707,5591.416209,5650.276107,5696.855734,5739.123892
skin,4675.927726,4857.429364,5042.481951,5071.231157,5179.82435,5340.696134,5460.923411,5574.824191,5710.980549,5858.916667,5959.198052,6017.664165,6034.728188,6009.825132,5966.170413
skin,4144.037916,4697.769757,4997.658377,5344.055735,5566.834671,5894.145728,6140.813213,6366.229477,6600.212901,6818.958333,6990.396427,7104.278982,7167.321144,7184.389162,7167.648246
skin,5044.152599,5244.100492,5439.650536,5461.580168,5546.142935,5686.905953,5825.763208,5947.546707,6077.651959,6200.583333,6281.357843,6325.897953,6336.182354,6309.983666,6269.252173
skin,5342.038756,5533.166802,5751.677483,5680.581127,5718.899922,5809.109937,5881.877967,5939.696169,5997.500465,6050.875,6064.058081,6055.175913,6018.548288,5949.806236,5870.161738
skin,4669.318605,4739.477459,4882.345464,4767.305266,4788.226595,4852.663133,4906.796366,4952.686357,4998.086043,5039.011617,5048.453852,5037.653222,5000.378763,4934.629656,4855.852922
skin,5117.243698,5380.142946,5591.733422,5610.710509,5650.853509,5748.68977,5819.144358,5875.495376,5927.436869,5974.75,5977.900632,5956.811774,5911.860351,5831.690073,5743.360682
skin,2113.281143,2663.536813,2893.286086,3201.440195,3329.958231,3452.308302,3527.617116,3593.144314,3657.440653,3723.916613,3782.262057,3829.413875,3878.467867,3916.847438,3940.771919
